participant.id_in_session,participant.code,participant.payoff,player.id_in_group,player.answer,player.reason,player.certainty,player.payoff,group.id_in_subsession,group.question_number,group.question_round,group.start_round_for_question,group.end_round_for_question,group.question_type,group.question_name,group.correct_answer,group.average,group.best_answer,subsession.round_number
1,6lamhe53,13,1,9,,,0,2,1,1,1,3,objective_subjective,Alcohol,,11.2,,1
2,o94nz35c,13.5,3,7,,,0,2,1,1,1,3,objective_subjective,Alcohol,,11.2,,1
3,4iblv6uf,7.5,2,21,,,0,2,1,1,1,3,objective_subjective,Alcohol,,11.2,,1
4,445x4xqn,13,4,9,,,0,2,1,1,1,3,objective_subjective,Alcohol,,11.2,,1
5,hgesum5h,10.5,1,85,,,0,3,1,1,1,3,subjective,Rate the Painting,,56.2,,1
6,fwo1nm5j,13,5,10,,,0,2,1,1,1,3,objective_subjective,Alcohol,,11.2,,1
7,cfshrnv2,15.5,3,69,,,0,3,1,1,1,3,subjective,Rate the Painting,,56.2,,1
8,qck7b3d8,12.5,2,9,,,0,3,1,1,1,3,subjective,Rate the Painting,,56.2,,1
9,z5i2sd4h,11,4,50,,,0,3,1,1,1,3,subjective,Rate the Painting,,56.2,,1
10,58jd0wja,10.5,5,68,,,0,3,1,1,1,3,subjective,Rate the Painting,,56.2,,1
11,hi0514hp,9.5,2,10,,,0,4,1,1,1,3,subjective,Thirst,,29.6,,1
12,tiz3qse6,13.5,1,40,,,0,4,1,1,1,3,subjective,Thirst,,29.6,,1
13,7ddvv1y8,19,1,40,,,0,5,1,1,1,3,objective,Grand Theft Auto 2015,24,45,,1
14,c1m77a16,13.5,4,25,,,0,4,1,1,1,3,subjective,Thirst,,29.6,,1
15,81zmzsqk,14,5,50,,,0,5,1,1,1,3,objective,Grand Theft Auto 2015,24,45,,1
16,420yijoy,4,3,55,,,0,5,1,1,1,3,objective,Grand Theft Auto 2015,24,45,,1
17,103s11he,11,3,58,,,0,4,1,1,1,3,subjective,Thirst,,29.6,,1
18,t8hw0qs5,12.5,5,15,,,0,4,1,1,1,3,subjective,Thirst,,29.6,,1
19,at4i1bkp,12,2,45,,,0,5,1,1,1,3,objective,Grand Theft Auto 2015,24,45,,1
20,o7kn0d5q,11,4,35,,,0,5,1,1,1,3,objective,Grand Theft Auto 2015,24,45,,1
21,ium8u4yn,13.5,1,900,,,0,6,1,1,1,3,objective,The Weight of an Ox,1233,891.4,,1
22,uzg56stl,14,2,775,,Neutral,0,6,1,1,1,3,objective,The Weight of an Ox,1233,891.4,,1
23,jliixcgf,4.5,4,650,,Certain,0,6,1,1,1,3,objective,The Weight of an Ox,1233,891.4,,1
24,m8vk9e2o,16,5,1332,,,0,6,1,1,1,3,objective,The Weight of an Ox,1233,891.4,,1
25,5551u6hb,12,3,800,,Uncertain,0,6,1,1,1,3,objective,The Weight of an Ox,1233,891.4,,1
1,6lamhe53,13,1,9,,,0,2,1,2,1,3,objective_subjective,Alcohol,,11.6,,2
2,o94nz35c,13.5,3,9,,,0,2,1,2,1,3,objective_subjective,Alcohol,,11.6,,2
3,4iblv6uf,7.5,2,21,,,0,2,1,2,1,3,objective_subjective,Alcohol,,11.6,,2
4,445x4xqn,13,4,9,,,0,2,1,2,1,3,objective_subjective,Alcohol,,11.6,,2
5,hgesum5h,10.5,1,90,,,0,3,1,2,1,3,subjective,Rate the Painting,,57.2,,2
6,fwo1nm5j,13,5,10,,,0,2,1,2,1,3,objective_subjective,Alcohol,,11.6,,2
7,cfshrnv2,15.5,3,69,,,0,3,1,2,1,3,subjective,Rate the Painting,,57.2,,2
8,qck7b3d8,12.5,2,9,,,0,3,1,2,1,3,subjective,Rate the Painting,,57.2,,2
9,z5i2sd4h,11,4,50,,,0,3,1,2,1,3,subjective,Rate the Painting,,57.2,,2
10,58jd0wja,10.5,5,68,,,0,3,1,2,1,3,subjective,Rate the Painting,,57.2,,2
11,hi0514hp,9.5,2,10,,,0,4,1,2,1,3,subjective,Thirst,,30.6,,2
12,tiz3qse6,13.5,1,40,,,0,4,1,2,1,3,subjective,Thirst,,30.6,,2
13,7ddvv1y8,19,1,40,"Im very sure that the average went down, as the police have gotten better and more effective",Neutral,0,5,1,2,1,3,objective,Grand Theft Auto 2015,24,235,,2
14,c1m77a16,13.5,4,25,,,0,4,1,2,1,3,subjective,Thirst,,30.6,,2
15,81zmzsqk,14,5,45,1000,,0,5,1,2,1,3,objective,Grand Theft Auto 2015,24,235,,2
16,420yijoy,4,3,55,,,0,5,1,2,1,3,objective,Grand Theft Auto 2015,24,235,,2
17,103s11he,11,3,58,,,0,4,1,2,1,3,subjective,Thirst,,30.6,,2
18,t8hw0qs5,12.5,5,20,,,0,4,1,2,1,3,subjective,Thirst,,30.6,,2
19,at4i1bkp,12,2,45,,,0,5,1,2,1,3,objective,Grand Theft Auto 2015,24,235,,2
20,o7kn0d5q,11,4,35,,,0,5,1,2,1,3,objective,Grand Theft Auto 2015,24,235,,2
21,ium8u4yn,13.5,1,900,,,0,6,1,2,1,3,objective,The Weight of an Ox,1233,859.4,,2
22,uzg56stl,14,2,800,,,0,6,1,2,1,3,objective,The Weight of an Ox,1233,859.4,,2
23,jliixcgf,4.5,4,750,,,0,6,1,2,1,3,objective,The Weight of an Ox,1233,859.4,,2
24,m8vk9e2o,16,5,1047,,,0,6,1,2,1,3,objective,The Weight of an Ox,1233,859.4,,2
25,5551u6hb,12,3,800,,,0,6,1,2,1,3,objective,The Weight of an Ox,1233,859.4,,2
1,6lamhe53,13,1,9,,,0,2,1,3,1,3,objective_subjective,Alcohol,,9.8,,3
2,o94nz35c,13.5,3,7,,,0,2,1,3,1,3,objective_subjective,Alcohol,,9.8,,3
3,4iblv6uf,7.5,2,14,,,0,2,1,3,1,3,objective_subjective,Alcohol,,9.8,,3
4,445x4xqn,13,4,9,,,0,2,1,3,1,3,objective_subjective,Alcohol,,9.8,,3
5,hgesum5h,10.5,1,90,,,0,3,1,3,1,3,subjective,Rate the Painting,,58.64,,3
6,fwo1nm5j,13,5,10,,,0,2,1,3,1,3,objective_subjective,Alcohol,,9.8,,3
7,cfshrnv2,15.5,3,69,,,0,3,1,3,1,3,subjective,Rate the Painting,,58.64,,3
8,qck7b3d8,12.5,2,9,,,0,3,1,3,1,3,subjective,Rate the Painting,,58.64,,3
9,z5i2sd4h,11,4,57.2,,,0,3,1,3,1,3,subjective,Rate the Painting,,58.64,,3
10,58jd0wja,10.5,5,68,,,0,3,1,3,1,3,subjective,Rate the Painting,,58.64,,3
11,hi0514hp,9.5,2,10,,,0,4,1,3,1,3,subjective,Thirst,,29.6,,3
12,tiz3qse6,13.5,1,45,,,0,4,1,3,1,3,subjective,Thirst,,29.6,,3
13,7ddvv1y8,19,1,40,"My opinion was not changed, as i havent been presented with any reasoning for the others answers",Neutral,5,5,1,3,1,3,objective,Grand Theft Auto 2015,24,37,40,3
14,c1m77a16,13.5,4,25,,,0,4,1,3,1,3,subjective,Thirst,,29.6,,3
15,81zmzsqk,14,5,45,,,3.5,5,1,3,1,3,objective,Grand Theft Auto 2015,24,37,40,3
16,420yijoy,4,3,55,,,1,5,1,3,1,3,objective,Grand Theft Auto 2015,24,37,40,3
17,103s11he,11,3,48,,,0,4,1,3,1,3,subjective,Thirst,,29.6,,3
18,t8hw0qs5,12.5,5,20,,,0,4,1,3,1,3,subjective,Thirst,,29.6,,3
19,at4i1bkp,12,2,45,,,3.5,5,1,3,1,3,objective,Grand Theft Auto 2015,24,37,40,3
20,o7kn0d5q,11,4,0,,,2,5,1,3,1,3,objective,Grand Theft Auto 2015,24,37,40,3
21,ium8u4yn,13.5,1,900,,,4,6,1,3,1,3,objective,The Weight of an Ox,1233,832.6,913,3
22,uzg56stl,14,2,800,,,2.5,6,1,3,1,3,objective,The Weight of an Ox,1233,832.6,913,3
23,jliixcgf,4.5,4,750,,,1,6,1,3,1,3,objective,The Weight of an Ox,1233,832.6,913,3
24,m8vk9e2o,16,5,913,,,5,6,1,3,1,3,objective,The Weight of an Ox,1233,832.6,913,3
25,5551u6hb,12,3,800,,Neutral,2.5,6,1,3,1,3,objective,The Weight of an Ox,1233,832.6,913,3
1,6lamhe53,13,1,450,,,0,2,2,1,4,6,objective,Carbon Dioxide over Hawaii,409.01,464.16,,4
2,o94nz35c,13.5,3,600,,,0,2,2,1,4,6,objective,Carbon Dioxide over Hawaii,409.01,464.16,,4
3,4iblv6uf,7.5,2,510,,,0,2,2,1,4,6,objective,Carbon Dioxide over Hawaii,409.01,464.16,,4
4,445x4xqn,13,4,300,"I would assume that the amount of carbondioxide has went down, seeing as iour enviorment is a major concern to many",Very Uncertain,0,2,2,1,4,6,objective,Carbon Dioxide over Hawaii,409.01,464.16,,4
5,hgesum5h,10.5,1,95,,,0,3,2,1,4,6,objective_subjective,Following the News,,73.4,,4
6,fwo1nm5j,13,5,460.82,,,0,2,2,1,4,6,objective,Carbon Dioxide over Hawaii,409.01,464.16,,4
7,cfshrnv2,15.5,3,42,,,0,3,2,1,4,6,objective_subjective,Following the News,,73.4,,4
8,qck7b3d8,12.5,2,90,,,0,3,2,1,4,6,objective_subjective,Following the News,,73.4,,4
9,z5i2sd4h,11,4,50,,,0,3,2,1,4,6,objective_subjective,Following the News,,73.4,,4
10,58jd0wja,10.5,5,90,,,0,3,2,1,4,6,objective_subjective,Following the News,,73.4,,4
11,hi0514hp,9.5,2,475,,,0,4,2,1,4,6,objective,Carbon Dioxide over Hawaii,409.01,461.53,,4
12,tiz3qse6,13.5,1,450,,Neutral,0,4,2,1,4,6,objective,Carbon Dioxide over Hawaii,409.01,461.53,,4
13,7ddvv1y8,19,1,10,,,0,5,2,1,4,6,subjective,Thirst,,228.8,,4
14,c1m77a16,13.5,4,414.39,,Neutral,0,4,2,1,4,6,objective,Carbon Dioxide over Hawaii,409.01,461.53,,4
15,81zmzsqk,14,5,70,,,0,5,2,1,4,6,subjective,Thirst,,228.8,,4
16,420yijoy,4,3,20,,,0,5,2,1,4,6,subjective,Thirst,,228.8,,4
17,103s11he,11,3,513.25,,,0,4,2,1,4,6,objective,Carbon Dioxide over Hawaii,409.01,461.53,,4
18,t8hw0qs5,12.5,5,455,,Uncertain,0,4,2,1,4,6,objective,Carbon Dioxide over Hawaii,409.01,461.53,,4
19,at4i1bkp,12,2,45,,,0,5,2,1,4,6,subjective,Thirst,,228.8,,4
20,o7kn0d5q,11,4,NaN,999,,0,5,2,1,4,6,subjective,Thirst,,228.8,,4
21,ium8u4yn,13.5,1,457,,,0,6,2,1,4,6,objective,Carbon Dioxide over Hawaii,409.01,467.09,,4
22,uzg56stl,14,2,409,,,0,6,2,1,4,6,objective,Carbon Dioxide over Hawaii,409.01,467.09,,4
23,jliixcgf,4.5,4,507.67,,,0,6,2,1,4,6,objective,Carbon Dioxide over Hawaii,409.01,467.09,,4
24,m8vk9e2o,16,5,543.8,,,0,6,2,1,4,6,objective,Carbon Dioxide over Hawaii,409.01,467.09,,4
25,5551u6hb,12,3,418,,,0,6,2,1,4,6,objective,Carbon Dioxide over Hawaii,409.01,467.09,,4
1,6lamhe53,13,1,460,,,0,2,2,2,4,6,objective,Carbon Dioxide over Hawaii,409.01,477.33,,5
2,o94nz35c,13.5,3,470,,,0,2,2,2,4,6,objective,Carbon Dioxide over Hawaii,409.01,477.33,,5
3,4iblv6uf,7.5,2,510,Der udledes flere giftstoffer - tænker at den stiger ,Uncertain,0,2,2,2,4,6,objective,Carbon Dioxide over Hawaii,409.01,477.33,,5
4,445x4xqn,13,4,464.16,,,0,2,2,2,4,6,objective,Carbon Dioxide over Hawaii,409.01,477.33,,5
5,hgesum5h,10.5,1,100,,,0,3,2,2,4,6,objective_subjective,Following the News,,66,,5
6,fwo1nm5j,13,5,482.47,,,0,2,2,2,4,6,objective,Carbon Dioxide over Hawaii,409.01,477.33,,5
7,cfshrnv2,15.5,3,0,,,0,3,2,2,4,6,objective_subjective,Following the News,,66,,5
8,qck7b3d8,12.5,2,90,,,0,3,2,2,4,6,objective_subjective,Following the News,,66,,5
9,z5i2sd4h,11,4,50,,,0,3,2,2,4,6,objective_subjective,Following the News,,66,,5
10,58jd0wja,10.5,5,90,,,0,3,2,2,4,6,objective_subjective,Following the News,,66,,5
11,hi0514hp,9.5,2,450,,,0,4,2,2,4,6,objective,Carbon Dioxide over Hawaii,409.01,453.77,,5
12,tiz3qse6,13.5,1,440,,,0,4,2,2,4,6,objective,Carbon Dioxide over Hawaii,409.01,453.77,,5
13,7ddvv1y8,19,1,10,,,0,5,2,2,4,6,subjective,Thirst,,33.2,,5
14,c1m77a16,13.5,4,435,"I remembered a statistic stating the levels increases by 40% from 1990, and I adjusted my answer accordingly. ",Certain,0,4,2,2,4,6,objective,Carbon Dioxide over Hawaii,409.01,453.77,,5
15,81zmzsqk,14,5,70,,,0,5,2,2,4,6,subjective,Thirst,,33.2,,5
16,420yijoy,4,3,25,,,0,5,2,2,4,6,subjective,Thirst,,33.2,,5
17,103s11he,11,3,488.83,,,0,4,2,2,4,6,objective,Carbon Dioxide over Hawaii,409.01,453.77,,5
18,t8hw0qs5,12.5,5,455,,,0,4,2,2,4,6,objective,Carbon Dioxide over Hawaii,409.01,453.77,,5
19,at4i1bkp,12,2,45,,,0,5,2,2,4,6,subjective,Thirst,,33.2,,5
20,o7kn0d5q,11,4,16,,,0,5,2,2,4,6,subjective,Thirst,,33.2,,5
21,ium8u4yn,13.5,1,448,,Uncertain,0,6,2,2,4,6,objective,Carbon Dioxide over Hawaii,409.01,453.4,,5
22,uzg56stl,14,2,409,,Certain,0,6,2,2,4,6,objective,Carbon Dioxide over Hawaii,409.01,453.4,,5
23,jliixcgf,4.5,4,487,,,0,6,2,2,4,6,objective,Carbon Dioxide over Hawaii,409.01,453.4,,5
24,m8vk9e2o,16,5,503,,Certain,0,6,2,2,4,6,objective,Carbon Dioxide over Hawaii,409.01,453.4,,5
25,5551u6hb,12,3,420,,,0,6,2,2,4,6,objective,Carbon Dioxide over Hawaii,409.01,453.4,,5
1,6lamhe53,13,1,460,,,5,2,2,3,4,6,objective,Carbon Dioxide over Hawaii,409.01,477.33,460,6
2,o94nz35c,13.5,3,470,,Very Uncertain,3,2,2,3,4,6,objective,Carbon Dioxide over Hawaii,409.01,477.33,460,6
3,4iblv6uf,7.5,2,510,,,1,2,2,3,4,6,objective,Carbon Dioxide over Hawaii,409.01,477.33,460,6
4,445x4xqn,13,4,464.16,,,4,2,2,3,4,6,objective,Carbon Dioxide over Hawaii,409.01,477.33,460,6
5,hgesum5h,10.5,1,100,,,0,3,2,3,4,6,objective_subjective,Following the News,,85,,6
6,fwo1nm5j,13,5,482.47,"1. Svar er for det meste et vildt gæt, medmindre man ved noget om det pågældende spørgsmål.   2. Svar kunne jeg så ændre mit gæt i tilfælde af at det lå langt fra resten af min gruppes.  3. Svar er for det meste det samme som 1.",Neutral,2,2,2,3,4,6,objective,Carbon Dioxide over Hawaii,409.01,477.33,460,6
7,cfshrnv2,15.5,3,90,,,0,3,2,3,4,6,objective_subjective,Following the News,,85,,6
8,qck7b3d8,12.5,2,90,,,0,3,2,3,4,6,objective_subjective,Following the News,,85,,6
9,z5i2sd4h,11,4,50,,,0,3,2,3,4,6,objective_subjective,Following the News,,85,,6
10,58jd0wja,10.5,5,95,,,0,3,2,3,4,6,objective_subjective,Following the News,,85,,6
11,hi0514hp,9.5,2,450,,,3,4,2,3,4,6,objective,Carbon Dioxide over Hawaii,409.01,450.39,435,6
12,tiz3qse6,13.5,1,445,,,4,4,2,3,4,6,objective,Carbon Dioxide over Hawaii,409.01,450.39,435,6
13,7ddvv1y8,19,1,10,,,0,5,2,3,4,6,subjective,Thirst,,33.4,,6
14,c1m77a16,13.5,4,435,,,5,4,2,3,4,6,objective,Carbon Dioxide over Hawaii,409.01,450.39,435,6
15,81zmzsqk,14,5,70,,,0,5,2,3,4,6,subjective,Thirst,,33.4,,6
16,420yijoy,4,3,25,,,0,5,2,3,4,6,subjective,Thirst,,33.4,,6
17,103s11he,11,3,466.95,,,1,4,2,3,4,6,objective,Carbon Dioxide over Hawaii,409.01,450.39,435,6
18,t8hw0qs5,12.5,5,455,,,2,4,2,3,4,6,objective,Carbon Dioxide over Hawaii,409.01,450.39,435,6
19,at4i1bkp,12,2,46,,,0,5,2,3,4,6,subjective,Thirst,,33.4,,6
20,o7kn0d5q,11,4,16,,,0,5,2,3,4,6,subjective,Thirst,,33.4,,6
21,ium8u4yn,13.5,1,427,,,2,6,2,3,4,6,objective,Carbon Dioxide over Hawaii,409.01,429,409,6
22,uzg56stl,14,2,409,,Certain,5,6,2,3,4,6,objective,Carbon Dioxide over Hawaii,409.01,429,409,6
23,jliixcgf,4.5,4,480,,,1,6,2,3,4,6,objective,Carbon Dioxide over Hawaii,409.01,429,409,6
24,m8vk9e2o,16,5,414,,,4,6,2,3,4,6,objective,Carbon Dioxide over Hawaii,409.01,429,409,6
25,5551u6hb,12,3,415,,,3,6,2,3,4,6,objective,Carbon Dioxide over Hawaii,409.01,429,409,6
1,6lamhe53,13,1,50,,,0,2,3,1,7,9,subjective,Star Wars,,66.6,,7
2,o94nz35c,13.5,3,50,,,0,2,3,1,7,9,subjective,Star Wars,,66.6,,7
3,4iblv6uf,7.5,2,80,,,0,2,3,1,7,9,subjective,Star Wars,,66.6,,7
4,445x4xqn,13,4,69,,,0,2,3,1,7,9,subjective,Star Wars,,66.6,,7
5,hgesum5h,10.5,1,800,,,0,3,3,1,7,9,objective,The Weight of an Ox,1233,710,,7
6,fwo1nm5j,13,5,84,,,0,2,3,1,7,9,subjective,Star Wars,,66.6,,7
7,cfshrnv2,15.5,3,1000,,,0,3,3,1,7,9,objective,The Weight of an Ox,1233,710,,7
8,qck7b3d8,12.5,2,500,Jeg svarede 500 kg eftersom udfra gennemsnitspris for kød på 30 kroner for en bakke med 500 gram og og prisen på en okse på en hel okse på 30000,Certain,0,3,3,1,7,9,objective,The Weight of an Ox,1233,710,,7
9,z5i2sd4h,11,4,750,,Neutral,0,3,3,1,7,9,objective,The Weight of an Ox,1233,710,,7
10,58jd0wja,10.5,5,500,,,0,3,3,1,7,9,objective,The Weight of an Ox,1233,710,,7
11,hi0514hp,9.5,2,42,,,0,4,3,1,7,9,objective,Grand Theft Auto 2015,24,39.2,,7
12,tiz3qse6,13.5,1,40,,,0,4,3,1,7,9,objective,Grand Theft Auto 2015,24,39.2,,7
13,7ddvv1y8,19,1,27,,,0,5,3,1,7,9,objective_subjective,Picnic,,25.6,,7
14,c1m77a16,13.5,4,36,,,0,4,3,1,7,9,objective,Grand Theft Auto 2015,24,39.2,,7
15,81zmzsqk,14,5,25,,,0,5,3,1,7,9,objective_subjective,Picnic,,25.6,,7
16,420yijoy,4,3,23,,,0,5,3,1,7,9,objective_subjective,Picnic,,25.6,,7
17,103s11he,11,3,42,,,0,4,3,1,7,9,objective,Grand Theft Auto 2015,24,39.2,,7
18,t8hw0qs5,12.5,5,36,,Uncertain,0,4,3,1,7,9,objective,Grand Theft Auto 2015,24,39.2,,7
19,at4i1bkp,12,2,28,,,0,5,3,1,7,9,objective_subjective,Picnic,,25.6,,7
20,o7kn0d5q,11,4,25,,,0,5,3,1,7,9,objective_subjective,Picnic,,25.6,,7
21,ium8u4yn,13.5,1,62,,,0,6,3,1,7,9,subjective,Rate the Painting,,67.4,,7
22,uzg56stl,14,2,58,,,0,6,3,1,7,9,subjective,Rate the Painting,,67.4,,7
23,jliixcgf,4.5,4,79,,,0,6,3,1,7,9,subjective,Rate the Painting,,67.4,,7
24,m8vk9e2o,16,5,53,,,0,6,3,1,7,9,subjective,Rate the Painting,,67.4,,7
25,5551u6hb,12,3,85,,,0,6,3,1,7,9,subjective,Rate the Painting,,67.4,,7
1,6lamhe53,13,1,50,,,0,2,3,2,7,9,subjective,Star Wars,,67.8,,8
2,o94nz35c,13.5,3,50,,,0,2,3,2,7,9,subjective,Star Wars,,67.8,,8
3,4iblv6uf,7.5,2,80,,,0,2,3,2,7,9,subjective,Star Wars,,67.8,,8
4,445x4xqn,13,4,67,,,0,2,3,2,7,9,subjective,Star Wars,,67.8,,8
5,hgesum5h,10.5,1,800,The ox looked heavy,Certain,0,3,3,2,7,9,objective,The Weight of an Ox,1233,770,,8
6,fwo1nm5j,13,5,92,,,0,2,3,2,7,9,subjective,Star Wars,,67.8,,8
7,cfshrnv2,15.5,3,900,,,0,3,3,2,7,9,objective,The Weight of an Ox,1233,770,,8
8,qck7b3d8,12.5,2,700,,,0,3,3,2,7,9,objective,The Weight of an Ox,1233,770,,8
9,z5i2sd4h,11,4,750,,,0,3,3,2,7,9,objective,The Weight of an Ox,1233,770,,8
10,58jd0wja,10.5,5,700,,,0,3,3,2,7,9,objective,The Weight of an Ox,1233,770,,8
11,hi0514hp,9.5,2,40,,,0,4,3,2,7,9,objective,Grand Theft Auto 2015,24,39.2,,8
12,tiz3qse6,13.5,1,40,,,0,4,3,2,7,9,objective,Grand Theft Auto 2015,24,39.2,,8
13,7ddvv1y8,19,1,27,,,0,5,3,2,7,9,objective_subjective,Picnic,,25.8,,8
14,c1m77a16,13.5,4,37,,,0,4,3,2,7,9,objective,Grand Theft Auto 2015,24,39.2,,8
15,81zmzsqk,14,5,26,,,0,5,3,2,7,9,objective_subjective,Picnic,,25.8,,8
16,420yijoy,4,3,24,,,0,5,3,2,7,9,objective_subjective,Picnic,,25.8,,8
17,103s11he,11,3,42,,,0,4,3,2,7,9,objective,Grand Theft Auto 2015,24,39.2,,8
18,t8hw0qs5,12.5,5,37,,,0,4,3,2,7,9,objective,Grand Theft Auto 2015,24,39.2,,8
19,at4i1bkp,12,2,27,,,0,5,3,2,7,9,objective_subjective,Picnic,,25.8,,8
20,o7kn0d5q,11,4,25,,,0,5,3,2,7,9,objective_subjective,Picnic,,25.8,,8
21,ium8u4yn,13.5,1,70,,,0,6,3,2,7,9,subjective,Rate the Painting,,73,,8
